target,target_label,target_prefix,subject_count,subject,subject_label
MESH:D005882,Gingival Diseases,MESH,2,DOID:5337,epulis
MESH:D005892,"Gingivitis, Necrotizing Ulcerative",MESH,2,DOID:13924,necrotizing ulcerative gingivitis
MESH:D005892,"Gingivitis, Necrotizing Ulcerative",MESH,2,DOID:9673,ulcerative stomatitis
MESH:D005902,"Glaucoma, Open-Angle",MESH,2,DOID:1067,open-angle glaucoma
MESH:D005902,"Glaucoma, Open-Angle",MESH,2,DOID:1070,primary open angle glaucoma
MESH:D005909,Glioblastoma,MESH,2,DOID:3068,glioblastoma
MESH:D005909,Glioblastoma,MESH,2,DOID:3074,giant cell glioblastoma
MESH:D005910,Glioma,MESH,2,DOID:3070,high grade glioma
MESH:D005910,Glioma,MESH,2,DOID:5076,mixed glioma
MESH:D005918,Glomus Tumor,MESH,2,DOID:2431,glomus tumor
MESH:D005918,Glomus Tumor,MESH,2,DOID:2436,glomangioma
MESH:D006177,Gynecomastia,MESH,2,DOID:11603,infant gynecomastia
MESH:D006177,Gynecomastia,MESH,2,DOID:12698,gynecomastia
MESH:D006223,"Hamartoma Syndrome, Multiple",MESH,2,DOID:0050657,Cowden syndrome 1
MESH:D006223,"Hamartoma Syndrome, Multiple",MESH,2,DOID:6457,Cowden syndrome
MESH:D006501,Hepatic Encephalopathy,MESH,2,DOID:12550,hepatic coma
MESH:D006501,Hepatic Encephalopathy,MESH,2,DOID:13413,hepatic encephalopathy
MESH:D006660,Histoplasmosis,MESH,2,DOID:1731,histoplasmosis
MESH:D006660,Histoplasmosis,MESH,2,DOID:1759,American histoplasmosis
MESH:D006929,Hyperaldosteronism,MESH,2,DOID:12028,Conn's syndrome
MESH:D006929,Hyperaldosteronism,MESH,2,DOID:446,primary hyperaldosteronism
MESH:D007007,Hypohidrosis,MESH,2,DOID:11155,hypohidrosis
MESH:D007007,Hypohidrosis,MESH,2,DOID:11156,anhidrosis
MESH:D007018,Hypopituitarism,MESH,2,DOID:9406,hypopituitarism
MESH:D007018,Hypopituitarism,MESH,2,DOID:9476,Sheehan syndrome
MESH:D007027,Hypothalamic Diseases,MESH,2,DOID:1931,hypothalamic disease
MESH:D007027,Hypothalamic Diseases,MESH,2,DOID:6676,Froelich syndrome
MESH:D007414,Intestinal Neoplasms,MESH,2,DOID:10155,intestinal cancer
MESH:D007414,Intestinal Neoplasms,MESH,2,DOID:4610,intestinal benign neoplasm
MESH:D007418,Intestinal Pseudo-Obstruction,MESH,2,DOID:0080072,intestinal pseudo-obstruction
MESH:D007418,Intestinal Pseudo-Obstruction,MESH,2,DOID:8442,paralytic ileus
MESH:D007516,"Adenoma, Islet Cell",MESH,2,DOID:1799,islet cell tumor
MESH:D007516,"Adenoma, Islet Cell",MESH,2,DOID:3892,insulinoma
MESH:D007580,Jejunal Neoplasms,MESH,2,DOID:13499,jejunal cancer
MESH:D007580,Jejunal Neoplasms,MESH,2,DOID:3218,jejunal neoplasm
MESH:D007766,Lacrimal Apparatus Diseases,MESH,2,DOID:13757,excessive tearing
MESH:D007766,Lacrimal Apparatus Diseases,MESH,2,DOID:1400,lacrimal apparatus disease
MESH:D007822,Laryngeal Neoplasms,MESH,2,DOID:2596,larynx cancer
MESH:D007822,Laryngeal Neoplasms,MESH,2,DOID:2598,laryngeal benign neoplasm
MESH:D007889,Leiomyoma,MESH,2,DOID:127,leiomyoma
MESH:D007889,Leiomyoma,MESH,2,DOID:13223,uterine fibroid
MESH:D007951,"Leukemia, Myeloid",MESH,2,DOID:8593,chronic monocytic leukemia
MESH:D007951,"Leukemia, Myeloid",MESH,2,DOID:8692,myeloid leukemia
MESH:D008067,Lipoma,MESH,2,DOID:10192,pleomorphic lipoma
MESH:D008067,Lipoma,MESH,2,DOID:3315,lipoma
MESH:D008072,Hyperlipoproteinemia Type I,MESH,2,DOID:0111418,familial apolipoprotein C-II deficiency
MESH:D008072,Hyperlipoproteinemia Type I,MESH,2,DOID:14118,familial lipoprotein lipase deficiency
MESH:D008209,Lymphedema,MESH,2,DOID:0070212,hereditary lymphedema I
MESH:D008209,Lymphedema,MESH,2,DOID:4977,lymphedema
MESH:D008228,"Lymphoma, Non-Hodgkin",MESH,2,DOID:0060060,non-Hodgkin lymphoma
MESH:D008228,"Lymphoma, Non-Hodgkin",MESH,2,DOID:8538,reticulosarcoma
MESH:D008268,Macular Degeneration,MESH,2,DOID:10871,age related macular degeneration
MESH:D008268,Macular Degeneration,MESH,2,DOID:4448,macular degeneration
MESH:D008269,Macular Edema,MESH,2,DOID:4447,cystoid macular edema
MESH:D008269,Macular Edema,MESH,2,DOID:4449,macular retinal edema
MESH:D008883,Miliaria,MESH,2,DOID:11153,miliaria rubra
MESH:D008883,Miliaria,MESH,2,DOID:1382,miliaria
MESH:D009221,Myositis Ossificans,MESH,2,DOID:13374,fibrodysplasia ossificans progressiva
MESH:D009221,Myositis Ossificans,MESH,2,DOID:668,myositis ossificans
MESH:D009379,"Neoplasms, Muscle Tissue",MESH,2,DOID:461,muscle benign neoplasm
MESH:D009379,"Neoplasms, Muscle Tissue",MESH,2,DOID:5039,myoblastoma
MESH:D009443,Neuritis,MESH,2,DOID:1803,neuritis
MESH:D009443,Neuritis,MESH,2,DOID:683,motor neuritis
MESH:D009477,Hereditary Sensory and Autonomic Neuropathies,MESH,2,DOID:0050548,hereditary sensory and autonomic neuropathy
MESH:D009477,Hereditary Sensory and Autonomic Neuropathies,MESH,2,DOID:2491,sensory peripheral neuropathy
MESH:D009901,Optic Nerve Diseases,MESH,2,DOID:14555,Foster-Kennedy syndrome
MESH:D009901,Optic Nerve Diseases,MESH,2,DOID:1891,optic nerve disease
MESH:D009958,Orofaciodigital Syndromes,MESH,2,DOID:0060316,orofaciodigital syndrome I
MESH:D009958,Orofaciodigital Syndromes,MESH,2,DOID:4501,orofaciodigital syndrome
MESH:D010013,Osteogenesis Imperfecta,MESH,2,DOID:0110334,osteogenesis imperfecta type 1
MESH:D010013,Osteogenesis Imperfecta,MESH,2,DOID:12347,osteogenesis imperfecta
MESH:D010022,Osteopetrosis,MESH,2,DOID:0110938,autosomal dominant osteopetrosis 2
MESH:D010022,Osteopetrosis,MESH,2,DOID:13533,osteopetrosis
MESH:D010190,Pancreatic Neoplasms,MESH,2,DOID:1793,pancreatic cancer
MESH:D010190,Pancreatic Neoplasms,MESH,2,DOID:4905,pancreatic carcinoma
MESH:D010195,Pancreatitis,MESH,2,DOID:2913,acute pancreatitis
MESH:D010195,Pancreatitis,MESH,2,DOID:4989,pancreatitis
MESH:D010212,Papilloma,MESH,2,DOID:139,squamous cell papilloma
MESH:D010212,Papilloma,MESH,2,DOID:2615,papilloma
MESH:D010255,Paranasal Sinus Neoplasms,MESH,2,DOID:0050619,paranasal sinus cancer
MESH:D010255,Paranasal Sinus Neoplasms,MESH,2,DOID:1350,paranasal sinus benign neoplasm
MESH:D010282,Parathyroid Neoplasms,MESH,2,DOID:1540,parathyroid carcinoma
MESH:D010282,Parathyroid Neoplasms,MESH,2,DOID:7608,parathyroid adenoma
MESH:D010412,Penile Neoplasms,MESH,2,DOID:11615,penile cancer
MESH:D010412,Penile Neoplasms,MESH,2,DOID:11624,penile benign neoplasm
MESH:D010490,Pericardial Effusion,MESH,2,DOID:11482,hemopericardium
MESH:D010490,Pericardial Effusion,MESH,2,DOID:118,pericardial effusion
MESH:D010520,Aggressive Periodontitis,MESH,2,DOID:1474,aggressive periodontitis
MESH:D010520,Aggressive Periodontitis,MESH,2,DOID:9893,periodontosis
MESH:D010871,Pinealoma,MESH,2,DOID:1664,pineoblastoma
MESH:D010871,Pinealoma,MESH,2,DOID:5032,pineal gland cancer
MESH:D011009,Pneumoconiosis,MESH,2,DOID:10316,pneumoconiosis
MESH:D011009,Pneumoconiosis,MESH,2,DOID:12522,bagassosis
MESH:D011015,"Pneumonia, Aspiration",MESH,2,DOID:0050152,aspiration pneumonia
MESH:D011015,"Pneumonia, Aspiration",MESH,2,DOID:3240,aspiration pneumonitis
MESH:D011115,Polyneuropathies,MESH,2,DOID:1389,polyneuropathy
MESH:D011115,Polyneuropathies,MESH,2,DOID:14402,critical illness polyneuropathy
