compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,orphanet:231537,Hermansky-Pudlak syndrome type 8,biolink:Disease,1,MONDO:0019312,Hermansky-Pudlak syndrome,regrouped,Disease.txt,biolink:Disease,14,1,"orphanet:231537 ""Hermansky-Pudlak syndrome type 8"""
Disease.txt,orphanet:238755,Autosomal dominant limb-girdle muscular dystrophy type 1H,biolink:Disease,1,MONDO:0013297,autosomal dominant limb-girdle muscular dystrophy type 1H,regrouped,Disease.txt,biolink:Disease,7,1,"orphanet:238755 ""Autosomal dominant limb-girdle muscular dystrophy type 1H"""
Disease.txt,orphanet:243761,NON RARE IN EUROPE: Essential hypertension,biolink:Disease,1,MONDO:0001134,essential hypertension,regrouped,Disease.txt,biolink:Disease,15,1,"orphanet:243761 ""NON RARE IN EUROPE: Essential hypertension"""
Disease.txt,orphanet:247522,Primary ciliary dyskinesia-retinitis pigmentosa syndrome,biolink:Disease,1,DOID:0112124,X-linked retinitis pigmentosa and sinorespiratory infections,regrouped,Disease.txt,biolink:Disease,5,1,"orphanet:247522 ""Primary ciliary dyskinesia-retinitis pigmentosa syndrome"""
Disease.txt,orphanet:247698,Multiple endocrine neoplasia type 2A,biolink:Disease,1,DOID:0050430,multiple endocrine neoplasia type 2A,regrouped,Disease.txt,biolink:Disease,18,1,"orphanet:247698 ""Multiple endocrine neoplasia type 2A"""
Disease.txt,orphanet:247709,Multiple endocrine neoplasia type 2B,biolink:Disease,1,DOID:10016,multiple endocrine neoplasia type 2B,regrouped,Disease.txt,biolink:Disease,13,1,"orphanet:247709 ""Multiple endocrine neoplasia type 2B"""
Disease.txt,orphanet:247798,MUTYH-related attenuated familial adenomatous polyposis,biolink:Disease,1,DOID:0080410,familial adenomatous polyposis 2,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:247798 ""MUTYH-related attenuated familial adenomatous polyposis"""
Disease.txt,orphanet:252206,Melanoma and neural system tumor syndrome,biolink:Disease,1,DOID:0111511,melanoma and neural system tumor syndrome,regrouped,Disease.txt,biolink:Disease,7,1,"orphanet:252206 ""Melanoma and neural system tumor syndrome"""
Disease.txt,orphanet:2608,N syndrome,biolink:Disease,1,DOID:0050769,N syndrome,regrouped,Disease.txt,biolink:Disease,6,1,"orphanet:2608 ""N syndrome"""
Disease.txt,orphanet:264,Autosomal dominant limb-girdle muscular dystrophy type 1B,biolink:Disease,1,MONDO:0021569,"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",regrouped,Disease.txt,biolink:Disease,12,1,"orphanet:264 ""Autosomal dominant limb-girdle muscular dystrophy type 1B"""
Disease.txt,orphanet:2646,Parastremmatic dwarfism,biolink:Disease,1,MONDO:0008196,parastremmatic dwarfism,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:2646 ""Parastremmatic dwarfism"""
Disease.txt,orphanet:265,Autosomal dominant limb-girdle muscular dystrophy type 1C,biolink:Disease,1,MONDO:0019947,rippling muscle disease 2,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:265 ""Autosomal dominant limb-girdle muscular dystrophy type 1C"""
Disease.txt,orphanet:266,Autosomal dominant limb-girdle muscular dystrophy type 1A,biolink:Disease,1,MONDO:0012215,myofibrillar myopathy 3,regrouped,Disease.txt,biolink:Disease,18,1,"orphanet:266 ""Autosomal dominant limb-girdle muscular dystrophy type 1A"""
Disease.txt,orphanet:2752,Orofaciodigital syndrome type 3,biolink:Disease,1,MONDO:0009793,orofaciodigital syndrome III,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:2752 ""Orofaciodigital syndrome type 3"""
Disease.txt,orphanet:275534,Myostatin-related muscle hypertrophy,biolink:Disease,1,MONDO:0013598,myostatin-related muscle hypertrophy,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:275534 ""Myostatin-related muscle hypertrophy"""
