compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,OMIM:107640,,biolink:Disease,2,MONDO:0004731,central sleep apnea syndrome,regrouped,Disease.txt,biolink:Disease,16,2,"OMIM:107640 """"; UMLS:C6066004 ""APNEA, CENTRAL SLEEP, AUTOSOMAL DOMINANT"""
Disease.txt,OMIM:115310,,biolink:Disease,2,DOID:0061219,pheochromocytoma/paraganglioma syndrome 4,regrouped,Disease.txt,biolink:Disease,3,2,"OMIM:115310 """"; UMLS:C1861848 ""PARAGANGLIOMAS 4"""
Disease.txt,OMIM:161550,,biolink:Disease,2,MONDO:0015459,nasopharyngeal carcinoma,regrouped,Disease.txt,biolink:Disease,42,2,"OMIM:161550 """"; UMLS:C2750548 ""NASOPHARYNGEAL CARCINOMA, SUSCEPTIBILITY TO, 2"""
Disease.txt,OMIM:162091,,biolink:Disease,2,DOID:0070480,schwannomatosis 1,regrouped,Disease.txt,biolink:Disease,5,2,"OMIM:162091 """"; UMLS:C4048809 ""SCHWANNOMATOSIS 1"""
Disease.txt,OMIM:207720,,biolink:Disease,2,MONDO:0004731,central sleep apnea syndrome,regrouped,Disease.txt,biolink:Disease,16,2,"OMIM:207720 """"; UMLS:C5886792 ""SLEEP APNEA, LETHAL CENTRAL"""
Disease.txt,OMIM:304900,,biolink:Disease,2,MONDO:0007450,neurohypophyseal diabetes insipidus,regrouped,Disease.txt,biolink:Disease,13,2,"OMIM:304900 """"; UMLS:C5562113 ""DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED"""
Disease.txt,OMIM:606689,,biolink:Disease,2,MONDO:0005338,open-angle glaucoma,regrouped,Disease.txt,biolink:Disease,40,2,"OMIM:606689 """"; UMLS:C3887942 ""GLAUCOMA 1, OPEN ANGLE, B"""
Disease.txt,OMIM:608935,,biolink:Disease,2,MONDO:0008903,lung cancer,regrouped,Disease.txt,biolink:Disease,36,2,"OMIM:608935 """"; UMLS:C1837089 ""LUNG CANCER SUSCEPTIBILITY 1"""
Disease.txt,OMIM:609265,,biolink:Disease,2,DOID:0111504,Li-Fraumeni syndrome 2,regrouped,Disease.txt,biolink:Disease,6,2,"OMIM:609265 """"; UMLS:C5882668 ""TUMOR PREDISPOSITION SYNDROME 4"""
Disease.txt,OMIM:612571,,biolink:Disease,2,MONDO:0008903,lung cancer,regrouped,Disease.txt,biolink:Disease,36,2,"OMIM:612571 """"; UMLS:C2675497 ""LUNG CANCER SUSCEPTIBILITY 3"""
Disease.txt,OMIM:612593,,biolink:Disease,2,MONDO:0008903,lung cancer,regrouped,Disease.txt,biolink:Disease,36,2,"OMIM:612593 """"; UMLS:C2675479 ""LUNG CANCER SUSCEPTIBILITY 4"""
