semantic_type,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,equivalent_ids
anatomy,UBERON:0002510,anterior fontanel,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:19199,anterior fontanelle,biolink:AnatomicalEntity,UBERON:0002510|EMAPA:19199|MA:0002830|SCTID:244680006|Wikipedia:Anterior_fontanelle
anatomy,UBERON:0002511,trabecula carnea,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:18626,trabeculae carneae,biolink:AnatomicalEntity,UBERON:0002511|EMAPA:18626|MA:0002831|SCTID:118755002|Wikipedia:Trabeculae_carneae
anatomy,UBERON:0002512,corpus luteum,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:29886,corpus luteum,biolink:AnatomicalEntity,UBERON:0002512|UMLS:C0010092|MESH:D003338|NCIT:C26465|EMAPA:29886|FMA:18619|GAID:369|MA:0002834|SCTID:257943001|SNOMEDCT:19931006|Wikipedia:Corpus_luteum
anatomy,UBERON:0002514,intramembranous bone,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:36615,intramembranous bone,biolink:AnatomicalEntity,UBERON:0002514|EMAPA:36615|TAO:0001644|ZFA:0001635
anatomy,UBERON:0002515,periosteum,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35681,periosteum,biolink:AnatomicalEntity,UBERON:0002515|UMLS:C0031110|MESH:D010521|NCIT:C13184|EMAPA:35681|FMA:24041|GAID:925|MA:0002838|SCTID:33840008|SNOMEDCT:33840008|Wikipedia:Periosteum|galen:PeriOsteum
anatomy,UBERON:0002516,epiphyseal plate,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35505,epiphyseal plate,biolink:AnatomicalEntity,UBERON:0002516|UMLS:C0018283|MESH:D006132|NCIT:C168638|EMAPA:35505|FMA:326838|FMA:75427|GAID:191|MA:0002839|SCTID:84349008|SNOMEDCT:711190000|Wikipedia:Epiphyseal_plate
anatomy,UBERON:0002522,tunica media,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:36298,tunica media,biolink:AnatomicalEntity,UBERON:0002522|UMLS:C0162867|MESH:D017540|NCIT:C33821|EMAPA:36298|GAID:170|MA:0002855|SCTID:61695000|SNOMEDCT:61695000|Wikipedia:Tunica_media
anatomy,UBERON:0002523,tunica intima,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:36297,tunica intima,biolink:AnatomicalEntity,UBERON:0002523|UMLS:C0162864|MESH:D017539|NCIT:C33820|EMAPA:36297|GAID:523|MA:0002861|SCTID:8361002|SCTID:87483006|SNOMEDCT:87483006|Wikipedia:Tunica_intima
anatomy,UBERON:0002524,mediastinal lymph node,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35555,mediastinal lymph node,biolink:AnatomicalEntity,UBERON:0002524|UMLS:C0588055|NCIT:C33073|EFO:0001670|EMAPA:35555|FMA:12774|FMA:276755|MA:0002877|SCTID:181760002|SNOMEDCT:245276004|SNOMEDCT:62683002
anatomy,UBERON:0002530,gland,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:18425,gland,biolink:AnatomicalEntity,UBERON:0002530|UMLS:C1285092|NCIT:C13319|AAO:0000212|AEO:0000096|EFO:0000797|EHDAA2:0003096|EHDAA:2161|EMAPA:18425|FBbt:00100317|FMA:7146|FMA:71481|FMA:86294|HAO:0000375|MA:0003038|MAT:0000021|MIAA:0000021|SCTID:134358001|SNOMEDCT:362884007|Wikipedia:Gland|WikipediaCategory:Glands|galen:Gland
