dropped_curie,dropped_label,dropped_from_clique_leader,clique_leader_label
MEDDRA:10036120,,MONDO:0008274,polyostotic fibrous dysplasia
MEDDRA:10053878,,MONDO:0008287,Greig cephalopolysyndactyly syndrome
MEDDRA:10036476,,MONDO:0008300,Prader-Willi syndrome
MEDDRA:10063656,,MONDO:0008303,familial male-limited precocious puberty
MEDDRA:10036794,,MONDO:0008310,Hutchinson-Gilford progeria syndrome
MEDDRA:10037113,,MONDO:0008323,Liddle syndrome
MEDDRA:10052313,,MONDO:0008323,Liddle syndrome
MEDDRA:10015996,,MONDO:0008340,congenital ptosis
MEDDRA:10066100,,MONDO:0008353,pruritic urticarial papules and plaques of pregnancy
MEDDRA:10037080,,MONDO:0008369,proximal renal tubular acidosis
MEDDRA:10068651,,MONDO:0008371,Dowling-Degos disease
MEDDRA:10038916,,MONDO:0008380,retinoblastoma
MEDDRA:10062282,,MONDO:0008394,Silver-Russell syndrome
MEDDRA:10067159,,MONDO:0008428,septooptic dysplasia
MEDDRA:10053841,,MONDO:0008436,Sneddon syndrome
MEDDRA:10062920,,MONDO:0008471,spondyloepiphyseal dysplasia congenita
MEDDRA:10042044,,MONDO:0008491,stiff-person syndrome
MEDDRA:10042265,,MONDO:0008501,Sturge-Weber syndrome
MEDDRA:10057653,,MONDO:0008501,Sturge-Weber syndrome
MEDDRA:10042598,,MONDO:0008504,supravalvular aortic stenosis
MEDDRA:10071755,,MONDO:0008523,Blau syndrome
MEDDRA:10018250,,MONDO:0008538,temporal arteritis
MEDDRA:10043207,,MONDO:0008538,temporal arteritis
MEDDRA:10016193,,MONDO:0008542,tetralogy of fallot
MEDDRA:10021245,,MONDO:0008558,autoimmune thrombocytopenic purpura
MEDDRA:10049058,,MONDO:0008585,HELLP syndrome
MEDDRA:10044652,,MONDO:0008599,trigeminal neuralgia
MEDDRA:10044688,,MONDO:0008608,Down syndrome
MEDDRA:10056433,,MONDO:0008628,ureterocele
MEDDRA:10064569,,MONDO:0008633,Muckle-Wells syndrome
MEDDRA:10053665,,MONDO:0008642,VACTERL/vater association
MEDDRA:10066022,,MONDO:0008642,VACTERL/vater association
MEDDRA:10047716,,MONDO:0008667,von Hippel-Lindau disease
MEDDRA:10049644,,MONDO:0008678,Williams syndrome
MEDDRA:10070179,,MONDO:0008682,Denys-Drash syndrome
MEDDRA:10050361,,MONDO:0008684,Wolf-Hirschhorn syndrome
