drugbank_curie,label,unii,ncit,ncit_label,biolink_type,future_biolink_type,signal
DRUGBANK:DB14379,Zanthoxylum clava-herculis bark,UNII:0QN10WG2A2,,,biolink:Food,,botanical-flag
DRUGBANK:DB14563,Magnolia kobus bark,UNII:54LVP49595,,,biolink:Food,,botanical-flag
DRUGBANK:DB14565,Sophora flavescens root,UNII:IYR6K8KQ5K,NCIT:C71831,Sophora flavescens Root,biolink:Food,,botanical-flag
DRUGBANK:DB14566,Lavender oil,UNII:ZBP1YXW0H8,NCIT:C66002,Lavender Oil,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14585,Plantago ovata seed,UNII:K9NXW456E2,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14588,Bambusa arundinacea stem,UNII:NRA4497HC5,,,biolink:Food,,botanical-flag
DRUGBANK:DB14590,Anemarrhena asphodeloides root,UNII:U0OC9BJL0I,NCIT:C80316,Anemarrhena asphodeloides Root,biolink:Food,,botanical-flag
DRUGBANK:DB14601,Barley malt syrup,UNII:22P8DKP670,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14686,Chamaecyparis obtusa leaf,UNII:7OL154J5XB,,,biolink:Food,,botanical-flag
DRUGBANK:DB14687,Centella asiatica leaf,UNII:6810070TYD,NCIT:C71797,Centella asiatica Leaf,biolink:Food,,botanical-flag
DRUGBANK:DB14688,Sambucus nigra flower,UNII:07V4DX094T,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14689,Rosemary oil,UNII:8LGU7VM393,NCIT:C107360,Rosemary Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14690,Ginger oil,UNII:SAS9Z1SVUK,NCIT:C107310,Ginger Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14692,Turmeric oil,UNII:6KGS8SP16U,NCIT:C107368,Turmeric Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14693,Atractylodes lancea root,UNII:CAZ6282J2O,NCIT:C80318,Atractylodes lancea Root,biolink:Food,,botanical-flag
DRUGBANK:DB14694,Beef liver,UNII:W8N8R55022,NCIT:C75669,Beef Liver,biolink:Food,,ncit-food
DRUGBANK:DB14709,Bean,UNII:8WB9PV3YW5,NCIT:C71990,Bean,biolink:Food,,ncit-food
DRUGBANK:DB14745,Olea europaea leaf,UNII:MJ95C3OH47,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14747,Ephedra sinica stem,UNII:55L3XLO37E,NCIT:C71795,Ephedra sinica Stem,biolink:Food,,botanical-flag
DRUGBANK:DB14748,Polygala tenuifolia root,UNII:5S7W573MTU,NCIT:C171390,Radix Polygalae Extract PDC-1421,biolink:Food,,botanical-flag
DRUGBANK:DB14749,Polygala senega root,UNII:M7T6H7D4IF,NCIT:C71845,Polygala senega Root,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14757,Agrostis gigantea top,UNII:A5ODF78EPD,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14758,Catfish,UNII:EFN1AL1YP0,NCIT:C71919,Catfish,biolink:Food,,ncit-food
DRUGBANK:DB14759,Red pepper,UNII:6M47G7C4SY,NCIT:C73793,Red Pepper,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14836,Polydextrose,UNII:VH2XOU12IE,NCIT:C81624,Polydextrose,biolink:Food,,ncit-food
DRUGBANK:DB15216,Amylose,UNII:7TDQ74Y18L,NCIT:C68489,Amylose,biolink:Food,,ncit-food
DRUGBANK:DB15478,Frangula purshiana bark,UNII:4VBP01X99F,NCIT:C28909,Frangula purshiana Bark,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15502,Baccharis sarothroides whole,UNII:C94X53K2GW,,,biolink:Food,,botanical-flag
DRUGBANK:DB15503,Amaranthus hybridus pollen,UNII:EK7F0414PI,NCIT:C85096,Amaranthus hybridus Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15504,Acacia dealbata pollen,UNII:L16Z5HLP8V,NCIT:C85200,Acacia dealbata Pollen,biolink:Food,,botanical-flag
DRUGBANK:DB15509,Alnus serrulata pollen,UNII:390VZ1D0L5,,,biolink:Food,,botanical-flag
DRUGBANK:DB15510,Prosopis velutina seed,UNII:R0120Z3YIC,,,biolink:Food,,botanical-flag
DRUGBANK:DB15529,Leucanthemum vulgare pollen,UNII:H9E0IX4MOX,NCIT:C85278,Leucanthemum vulgare Pollen,biolink:Food,,botanical-flag
DRUGBANK:DB15530,Trifolium pratense pollen,UNII:3SNK70F46Y,NCIT:C85379,Trifolium pratense Pollen,biolink:Food,,botanical-flag
DRUGBANK:DB15537,Eucalyptus gum,UNII:72T9EZC2VX,,,biolink:Food,,botanical-flag
DRUGBANK:DB15544,Myristica fragrans fruit,UNII:GOO22BTU71,,,biolink:Food,,botanical-flag
DRUGBANK:DB15545,Pisum sativum whole,UNII:J21YE3W98E,,,biolink:Food,,botanical-flag
DRUGBANK:DB15602,Cashew fruit,UNII:4A10JR4E7E,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15603,"Coffea arabica seed, roasted",UNII:9H58JRT35E,,,biolink:Food,,botanical-flag
DRUGBANK:DB15604,Lactuca sativa whole,UNII:C0K52765EZ,,,biolink:Food,,botanical-flag
DRUGBANK:DB15606,White mustard seed,UNII:25VR943RPP,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15607,Hydrolyzed soy protein,UNII:1394NXB9L6,,,biolink:Food,,botanical-flag
DRUGBANK:DB15608,Theobroma cacao whole,UNII:EB048G1S9J,,,biolink:Food,,botanical-flag
DRUGBANK:DB15611,Muskmelon,UNII:ZV095H5633,NCIT:C72030,Muskmelon,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15612,American hazelnut,UNII:IUP4S55D8S,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15613,Musa acuminata fruit,UNII:T6ENY6RV6W,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15615,Fennel,UNII:557II4LLC3,NCIT:C71970,Fennel,biolink:Food,,ncit-food
DRUGBANK:DB15663,Grapefruit oil,UNII:YR377U58W9,,,biolink:Food,,botanical-flag
DRUGBANK:DB15776,Anise oil,UNII:6Y89129C8H,NCIT:C89792,Anise Oil,biolink:Food,,botanical-flag
DRUGBANK:DB15786,Maritime pine extract,UNII:50JZ5Z98QY,NCIT:C128889,French Maritime Pine Bark Extract,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15789,Alpinia officinarum leaf,UNII:8584IDD6OR,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15815,Boldo leaf extract,UNII:Q4EWM09M3O,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15836,Cedar leaf oil,UNII:BJ169U4NLG,NCIT:C80991,Cedar Leaf Oil,biolink:Food,,botanical-flag
DRUGBANK:DB15838,Orthosiphon aristatus leaf,UNII:DSS8V86H3Y,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15860,Cassia fistula fruit,UNII:J65X53KM9E,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15889,Senna leaf,UNII:AK7JF626KX,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15894,Glycyrrhiza uralensis root,UNII:42B5YD8F0K,NCIT:C80296,Glycyrrhiza uralensis Root,biolink:Food,,botanical-flag
DRUGBANK:DB15904,Alnus glutinosa,UNII:24A0VB48CA,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB15922,Cajuput oil,UNII:J3TO6BUQ37,NCIT:C74291,Cajuput Oil,biolink:Food,,botanical-flag
DRUGBANK:DB15928,Asafoetida,UNII:W9FZA51AS1,NCIT:C83538,Asafetida,biolink:Food,,botanical-flag
DRUGBANK:DB15986,Cinnamon oil,UNII:A4WO0626T5,NCIT:C65293,Chinese Cinnamon Oil,biolink:Food,,botanical-flag
DRUGBANK:DB15989,Garlic oil,UNII:4WG8U28833,NCIT:C63652,Garlic Oil,biolink:Food,,botanical-flag
DRUGBANK:DB15996,Nutmeg oil,UNII:Z1CLM48948,NCIT:C107336,Nutmeg Oil,biolink:Food,,botanical-flag
DRUGBANK:DB16536,Birch bark extract,UNII:3R504894L9,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16545,Malpighia emarginata extract,UNII:XDD2WEC9L5,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16546,Medicago sativa top,UNII:SQI2NBY9KR,NCIT:C84406,Alfalfa Top,biolink:Food,,botanical-flag
DRUGBANK:DB16558,Rosa canina fruit,UNII:3TNW8D08V3,NCIT:C71789,Rosa canina Fruit,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16559,Nux vomica extract,UNII:269XH13919,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16566,Gentiana lutea extract,UNII:S72O3284MS,NCIT:C71791,Gentiana lutea Root,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16570,Wheat germ oil,UNII:14C97E680P,NCIT:C107372,Wheat Germ Oil,biolink:Food,,botanical-flag
DRUGBANK:DB16575,Mentha arvensis leaf oil,UNII:1AEY1M553N,,,biolink:Food,,botanical-flag
DRUGBANK:DB16576,Cardamom,UNII:8BC4CUT4JL,NCIT:C74464,Cardamom,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16583,Pelargonium sidoides root,UNII:H6J53HEX8E,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16586,Pygeum africanum bark,UNII:709HYI14M4,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16589,Pinus densiflora whole,UNII:U797H98B8Y,,,biolink:Food,,botanical-flag
DRUGBANK:DB16592,Frankincense,UNII:R9XLF1R1WM,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16593,Chinese cinnamon,UNII:WS4CQ062KM,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16594,Goldenseal,UNII:ZW3Z11D0JV,NCIT:C71859,Goldenseal,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16595,Paeonia lactiflora root,UNII:3Z3866YW6P,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16596,Apple cider vinegar,UNII:0UE22Q87VC,,,biolink:Food,,botanical-flag
DRUGBANK:DB16597,Artemisia annua leaf,UNII:E4M09UY5BL,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16598,Citrus aurantium fruit,UNII:DQD16J2B5O,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB16600,Cinnamon leaf oil,UNII:S92U8SQ71V,NCIT:C107290,Cinnamon Leaf Oil,biolink:Food,,botanical-flag
