target,target_prefix,doid_subject_count,doid_subjects
MESH:D018242,MESH,4,DOID:0050902|DOID:0080903|DOID:4790|DOID:7398
MESH:D020914,MESH,4,DOID:0111217|DOID:0111225|DOID:14717|DOID:422
MESH:D052245,MESH,4,DOID:0050439|DOID:0110827|DOID:0110828|DOID:0110829
MESH:D052496,MESH,4,DOID:0050440|DOID:0070202|DOID:0070204|DOID:0070207
MESH:D053306,MESH,4,DOID:0060023|DOID:0060758|DOID:0060759|DOID:0080544
ORDO:280763,ORDO,4,DOID:0110799|DOID:0110802|DOID:0110803|DOID:0110804
ORDO:3152,ORDO,4,DOID:0060251|DOID:0060756|DOID:0060757|DOID:0080036
ORDO:3197,ORDO,4,DOID:0060695|DOID:0060696|DOID:0060697|DOID:0060698
GARD:9948,GARD,3,DOID:0070317|DOID:0070318|DOID:13725
ICD0:9421/1,ICD0,3,DOID:0081260|DOID:0081279|DOID:4851
ICD0:9500/3,ICD0,3,DOID:0080906|DOID:0081315|DOID:769
ICD0:9506/1,ICD0,3,DOID:0081314|DOID:14174|DOID:6458
ICD0:9509/1,ICD0,3,DOID:0081283|DOID:0081284|DOID:0081285
ICD0:9766/1,ICD0,3,DOID:0081307|DOID:0081308|DOID:0081309
ICD10:B66.8,ICD10,3,DOID:1218|DOID:882|DOID:884
ICD10:D70,ICD10,3,DOID:0050590|DOID:1227|DOID:12987
ICD10:D82.8,ICD10,3,DOID:0060551|DOID:0060769|DOID:0090113
ICD10:E74.09,ICD10,3,DOID:11721|DOID:2750|DOID:2754
ICD10:G10,ICD10,3,DOID:0090103|DOID:0090104|DOID:12858
ICD10:G11.1,ICD10,3,DOID:0060792|DOID:0060794|DOID:0060797
ICD10:G71.1,ICD10,3,DOID:0050759|DOID:0090005|DOID:450
ICD10:G72.3,ICD10,3,DOID:1029|DOID:14451|DOID:14452
ICD10:H18.50,ICD10,3,DOID:0110855|DOID:0110856|DOID:0110857
ICD10:I70,ICD10,3,DOID:1936|DOID:2349|DOID:5162
ICD10:J45,ICD10,3,DOID:2841|DOID:9360|DOID:9415
ICD10:K11.8,ICD10,3,DOID:12899|DOID:12900|DOID:12901
ICD10:K12.1,ICD10,3,DOID:11875|DOID:9637|DOID:9673
ICD10:K13.0,ICD10,3,DOID:0060312|DOID:1762|DOID:9297
ICD10:K83.09,ICD10,3,DOID:14268|DOID:14269|DOID:14270
ICD10:M77.9,ICD10,3,DOID:204|DOID:2964|DOID:971
ICD10:N04,ICD10,3,DOID:10966|DOID:1184|DOID:2590
ICD10:N08,ICD10,3,DOID:10952|DOID:2921|DOID:557
ICD10:Q78.2,ICD10,3,DOID:0110946|DOID:13533|DOID:4254
ICD10:Q78.4,ICD10,3,DOID:0060221|DOID:0090015|DOID:4624
MESH:C536189,MESH,3,DOID:0060782|DOID:0060783|DOID:0060784
MESH:C536350,MESH,3,DOID:0070331|DOID:0080119|DOID:0080127
MESH:D000073605,MESH,3,DOID:10921|DOID:11103|DOID:11104
