drugbank_curie,label,unii,unii_ncit,organism_flags,current_ncit_retype
DRUGBANK:DB10494,Distichlis spicata pollen,UNII:GOA51670YV,NCIT:C85160,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10495,Liquidambar styraciflua pollen,UNII:5Q246DS5BS,NCIT:C85281,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10496,Juglans regia pollen,UNII:ARW43087I1,NCIT:C85265,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10497,Amaranthus tuberculatus pollen,UNII:92N6W6KO2G,NCIT:C85100,NCBI|PLANTS|GRIN,
DRUGBANK:DB10498,Triticum aestivum pollen,UNII:F1KAH8374D,NCIT:C85380,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10499,Felis catus hair,UNII:1564HD0N96,NCIT:C80294,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10500,Almond,UNII:3Z252A2K9G,NCIT:C74458,NCBI|PLANTS|GRIN,biolink:Food
DRUGBANK:DB10501,Apple,UNII:B423VGH5S9,NCIT:C71985,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10502,Apricot,UNII:269CJD5GZ9,NCIT:C71986,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10503,Asparagus,UNII:Z1EJP3037Z,NCIT:C71987,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10504,Avocado,UNII:6VNO72PFC1,NCIT:C107267,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10505,Banana,UNII:4AJZ4765R9,NCIT:C71989,NCBI|MPNS,biolink:Food
DRUGBANK:DB10506,Barley,UNII:5PWM7YLI7R,NCIT:C73935,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10508,String bean,UNII:N9D69B2Q7Y,NCIT:C71951,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10509,Beef,UNII:4PIB2155QP,NCIT:C71932,NCBI,biolink:Food
DRUGBANK:DB10510,Brazil nut,UNII:XKR79OET1K,NCIT:C72048,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10511,Broccoli,UNII:UOI4FT57BZ,NCIT:C71997,NCBI,biolink:Food
DRUGBANK:DB10512,Buckwheat,UNII:N0Y68724R3,NCIT:C73936,NCBI|PLANTS|GRIN|MPNS,biolink:Food
