pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	DOID:3209	junctional epidermolysis bullosa	xref	GARD:2152	Junctional epidermolysis bullosa	DOID	from_other_source
disease	DOID:3210	Pelizaeus-Merzbacher disease	xref	GARD:4265	Pelizaeus-Merzbacher disease	DOID	from_other_source
disease	DOID:3223	complex regional pain syndrome	xref	GARD:4647	Complex regional pain syndrome	DOID	from_other_source
disease	DOID:3246	embryonal rhabdomyosarcoma	xref	GARD:4702	Embryonal rhabdomyosarcoma	DOID	from_other_source
disease	DOID:3261	autosomal dominant hyper-IgE syndrome 1 with recurrent infections	xref	GARD:6800	Hyper-IgE recurrent infection syndrome 1, autosomal dominant	DOID	from_other_source
disease	DOID:3263	piebaldism	xref	GARD:4344	Piebaldism	DOID	from_other_source
disease	DOID:3265	chronic granulomatous disease	xref	GARD:6100	Chronic granulomatous disease	DOID	from_other_source
disease	DOID:327	syringomyelia	xref	GARD:7725	Syringomyelia	DOID	from_other_source
disease	DOID:3302	chordoma	xref	GARD:1303	Chordoma	DOID	from_other_source
disease	DOID:3308	embryonal carcinoma	xref	GARD:5140	Embryonal carcinoma	DOID	from_other_source
disease	DOID:3319	lymphangioleiomyomatosis	xref	GARD:3319	Lung lymphangioleiomyomatosis	DOID	from_other_source
disease	DOID:332	amyotrophic lateral sclerosis	xref	GARD:5786	Amyotrophic lateral sclerosis	DOID	from_other_source
disease	DOID:3320	Tay-Sachs disease	xref	GARD:7737	Tay-Sachs disease	DOID	from_other_source
disease	DOID:3322	GM1 gangliosidosis	xref	GARD:10891	GM1 gangliosidosis	DOID	from_other_source
disease	DOID:3323	Sandhoff disease	xref	GARD:7604	Sandhoff disease, infantile form	DOID	from_other_source
disease	DOID:3329	benign epilepsy with centrotemporal spikes	xref	GARD:10287	Self-limited epilepsy with centrotemporal spikes	DOID	from_other_source
disease	DOID:3343	glycoproteinosis	xref	GARD:10670	Glycoproteinosis	DOID	from_other_source
disease	DOID:3347	osteosarcoma	xref	GARD:7284	Bone osteosarcoma	DOID	from_other_source
disease	DOID:3355	fibrosarcoma	xref	GARD:2327	Fibrosarcoma	DOID	from_other_source
disease	DOID:3369	Ewing sarcoma	xref	GARD:6390	Ewing sarcoma	DOID	from_other_source
disease	DOID:3371	chondrosarcoma	xref	GARD:6004	Cartilage cancer	DOID	from_other_source
disease	DOID:3371	chondrosarcoma	xref	GARD:6055	Chondrosarcoma	DOID	from_other_source
disease	DOID:3382	liposarcoma	xref	GARD:6913	Liposarcoma	DOID	from_other_source
disease	DOID:3389	Papillon-Lefevre disease	xref	GARD:3100	Papillon-Lefèvre syndrome	DOID	from_other_source
disease	DOID:3413	alpha-mannosidosis	xref	GARD:6968	Deficiency of alpha-mannosidase	DOID	from_other_source
disease	DOID:3429	inclusion body myositis	xref	GARD:3896	Inclusion body myositis	DOID	from_other_source
disease	DOID:3486	necrobiosis lipoidica	xref	GARD:13040	Necrobiosis lipoidica	DOID	from_other_source
disease	DOID:349	systemic mastocytosis	xref	GARD:8616	Systemic mast cell disease	DOID	from_other_source
disease	DOID:3490	Noonan syndrome	xref	GARD:10955	Noonan syndrome	DOID	from_other_source
disease	DOID:3491	Turner syndrome	xref	GARD:7831	Turner syndrome	DOID	from_other_source
disease	DOID:3492	mixed connective tissue disease	xref	GARD:7051	Mixed connective tissue disease	DOID	from_other_source
disease	DOID:350	mastocytosis	xref	GARD:6987	Mastocytosis	DOID	from_other_source
disease	DOID:3507	dermatofibrosarcoma protuberans	xref	GARD:9569	Dermatofibrosarcoma protuberans	DOID	from_other_source
disease	DOID:3512	neurofibrosarcoma	xref	GARD:8211	Neurofibrosarcoma	DOID	from_other_source
disease	DOID:3529	congenital myopathy 1A	xref	GARD:6014	Central core myopathy	DOID	from_other_source
disease	DOID:3534	Lafora disease	xref	GARD:8214	Lafora disease	DOID	from_other_source
disease	DOID:3535	Unverricht-Lundborg syndrome	xref	GARD:3876	Unverricht-Lundborg syndrome	DOID	from_other_source
disease	DOID:3557	superior mesenteric artery syndrome	xref	GARD:7712	Superior mesenteric artery syndrome	DOID	from_other_source
