gene_id,symbol,tax_id,dropped_synonym,shredded_from,raw_synonyms_field
842798,CYP89A2,3702,subfamily A,"cytochrome P450, family 89, subfamily A, polypeptide 2",''cytochrome P450|CYP89|F13O11.20|F13O11_20|cytochrome P450|family 89|polypeptide 2|polypeptide 2''|subfamily A
842801,CYP89A7,3702,cytochrome P450,"cytochrome P450, family 87, subfamily A, polypeptide 7",''cytochrome P450|F13O11.23|F13O11_23|cytochrome P450|family 87|polypeptide 7|polypeptide 7''|subfamily A
842801,CYP89A7,3702,family 87,"cytochrome P450, family 87, subfamily A, polypeptide 7",''cytochrome P450|F13O11.23|F13O11_23|cytochrome P450|family 87|polypeptide 7|polypeptide 7''|subfamily A
842801,CYP89A7,3702,polypeptide 7,"cytochrome P450, family 87, subfamily A, polypeptide 7",''cytochrome P450|F13O11.23|F13O11_23|cytochrome P450|family 87|polypeptide 7|polypeptide 7''|subfamily A
842801,CYP89A7,3702,subfamily A,"cytochrome P450, family 87, subfamily A, polypeptide 7",''cytochrome P450|F13O11.23|F13O11_23|cytochrome P450|family 87|polypeptide 7|polypeptide 7''|subfamily A
842802,CYP89A6,3702,cytochrome P450,"cytochrome P450, family 87, subfamily A, polypeptide 6",''cytochrome P450|F13O11.24|F13O11_24|cytochrome P450|family 87|polypeptide 6|polypeptide 6''|subfamily A
842802,CYP89A6,3702,family 87,"cytochrome P450, family 87, subfamily A, polypeptide 6",''cytochrome P450|F13O11.24|F13O11_24|cytochrome P450|family 87|polypeptide 6|polypeptide 6''|subfamily A
842802,CYP89A6,3702,polypeptide 6,"cytochrome P450, family 87, subfamily A, polypeptide 6",''cytochrome P450|F13O11.24|F13O11_24|cytochrome P450|family 87|polypeptide 6|polypeptide 6''|subfamily A
842802,CYP89A6,3702,subfamily A,"cytochrome P450, family 87, subfamily A, polypeptide 6",''cytochrome P450|F13O11.24|F13O11_24|cytochrome P450|family 87|polypeptide 6|polypeptide 6''|subfamily A
842803,CYP89A5,3702,cytochrome P450,"cytochrome P450, family 89, subfamily A, polypeptide 5",''cytochrome P450|F13O11.25|F13O11_25|cytochrome P450|family 89|polypeptide 5|polypeptide 5''|subfamily A
842803,CYP89A5,3702,family 89,"cytochrome P450, family 89, subfamily A, polypeptide 5",''cytochrome P450|F13O11.25|F13O11_25|cytochrome P450|family 89|polypeptide 5|polypeptide 5''|subfamily A
842803,CYP89A5,3702,polypeptide 5,"cytochrome P450, family 89, subfamily A, polypeptide 5",''cytochrome P450|F13O11.25|F13O11_25|cytochrome P450|family 89|polypeptide 5|polypeptide 5''|subfamily A
842803,CYP89A5,3702,subfamily A,"cytochrome P450, family 89, subfamily A, polypeptide 5",''cytochrome P450|F13O11.25|F13O11_25|cytochrome P450|family 89|polypeptide 5|polypeptide 5''|subfamily A
842842,CYP96A3,3702,cytochrome P450,"cytochrome P450, family 96, subfamily A, polypeptide 3",''cytochrome P450|T8F5.12|T8F5_12|cytochrome P450|family 96|polypeptide 3|polypeptide 3''|subfamily A
842842,CYP96A3,3702,family 96,"cytochrome P450, family 96, subfamily A, polypeptide 3",''cytochrome P450|T8F5.12|T8F5_12|cytochrome P450|family 96|polypeptide 3|polypeptide 3''|subfamily A
842842,CYP96A3,3702,polypeptide 3,"cytochrome P450, family 96, subfamily A, polypeptide 3",''cytochrome P450|T8F5.12|T8F5_12|cytochrome P450|family 96|polypeptide 3|polypeptide 3''|subfamily A
842842,CYP96A3,3702,subfamily A,"cytochrome P450, family 96, subfamily A, polypeptide 3",''cytochrome P450|T8F5.12|T8F5_12|cytochrome P450|family 96|polypeptide 3|polypeptide 3''|subfamily A
