pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	MP:0008044	increased NK cell number	xref	FMA:63147		MP	added
disease	MP:0008044	increased NK cell number	xref	FMA:83601		MP	added
disease	MP:0008045	decreased NK cell number	xref	CL:0000623		MP	added
disease	MP:0008045	decreased NK cell number	xref	FMA:63147		MP	added
disease	MP:0008045	decreased NK cell number	xref	FMA:83601		MP	added
disease	MP:0008046	absent NK cells	xref	CL:0000623		MP	added
disease	MP:0008046	absent NK cells	xref	FMA:63147		MP	added
disease	MP:0008046	absent NK cells	xref	FMA:83601		MP	added
disease	MP:0008047	absent uterine NK cells	xref	CL:0002343		MP	added
disease	MP:0008048	abnormal memory T cell number	xref	CL:0000813		MP	added
disease	MP:0008049	increased memory T cell number	xref	CL:0000813		MP	added
disease	MP:0008050	decreased memory T cell number	xref	CL:0000813		MP	added
disease	MP:0008057	abnormal DNA replication	xref	GO:0006260		MP	added
disease	MP:0008058	abnormal DNA repair	xref	GO:0006281		MP	added
disease	MP:0008243	abnormal macrophage derived foam cell morphology	xref	CL:0000517		MP	added
disease	MP:0008296	abnormal adrenal gland x-zone morphology	xref	MA:0001887		MP	added
disease	MP:0008391	abnormal primordial germ cell morphology	xref	CL:0000670		MP	added
disease	MP:0008397	abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology	xref	CL:0000792		MP	added
disease	MP:0008398	abnormal CD8-positive, alpha-beta regulatory T cell morphology	xref	CL:0000795		MP	added
disease	MP:0008399	abnormal alpha-beta intraepithelial T cell morphology	xref	CL:0000797		MP	added
disease	MP:0008400	abnormal CD4-positive, alpha-beta intraepithelial T cell morphology	xref	CL:0000793		MP	added
disease	MP:0008401	abnormal CD8-positive, alpha-beta intraepithelial T cell morphology	xref	CL:0000796		MP	added
disease	MP:0008503	abnormal spinal cord grey matter morphology	xref	MA:0000002		MP	added
